2023-05-27 13:36:37,TG2023104A  ,4.13,32.0,54.6,192.168.1.77
2023-05-27 13:44:12,TG2023104A  ,4.19,31.5,54.4,192.168.1.77
2023-05-27 13:51:48,TG2023104A  ,4.05,32.2,52.2,192.168.1.77
2023-05-27 13:59:23,TG2023104A  ,4.19,31.7,52.7,192.168.1.77
2023-05-27 14:06:58,TG2023104A  ,4.08,31.3,55.4,192.168.1.77
2023-05-27 14:14:34,TG2023104A  ,4.05,31.9,53.8,192.168.1.77
2023-05-27 14:22:09,TG2023104A  ,4.22,32.1,52.9,192.168.1.77
2023-05-27 14:29:44,TG2023104A  ,4.16,31.9,52.2,192.168.1.77
2023-05-27 14:37:20,TG2023104A  ,4.19,31.6,53.2,192.168.1.77
2023-05-27 14:44:55,TG2023104A  ,4.16,31.1,53.9,192.168.1.77
2023-05-27 14:52:30,TG2023104A  ,4.08,31.3,54.0,192.168.1.77
2023-05-27 15:00:05,TG2023104A  ,4.22,31.4,54.8,192.168.1.77
2023-05-27 15:07:41,TG2023104A  ,4.22,31.1,54.1,192.168.1.77
2023-05-27 15:15:16,TG2023104A  ,4.19,31.4,53.4,192.168.1.77
2023-05-27 15:22:51,TG2023104A  ,4.16,30.7,52.9,192.168.1.77
2023-05-27 15:30:27,TG2023104A  ,4.11,30.7,53.1,192.168.1.77
2023-05-27 15:38:01,TG2023104A  ,4.16,30.5,55.1,192.168.1.77
2023-05-27 15:45:34,TG2023104A  ,4.27,30.4,55.1,192.168.1.77
2023-05-27 15:53:09,TG2023104A  ,4.19,30.4,56.2,192.168.1.77
2023-05-27 16:00:44,TG2023104A  ,4.24,31.0,52.6,192.168.1.77
2023-05-27 16:08:19,TG2023104A  ,4.24,31.0,52.1,192.168.1.77
2023-05-27 16:15:51,TG2023104A  ,4.11,30.2,55.6,192.168.1.77
2023-05-27 16:23:26,TG2023104A  ,0.00,29.3,58.6,192.168.1.77
2023-05-27 16:31:01,TG2023104A  ,4.13,28.7,61.2,192.168.1.77
2023-05-27 16:38:36,TG2023104A  ,0.00,28.5,62.2,192.168.1.77
